b3_id,cvm_id,segment,is_restructuring,most_traded_stock,stock_type,volume
RADL,5258,pharmaceutical and others products,False,RADL3,ON  EJ  NM,172028654
RAIL,17450,railroads,False,RAIL3,ON      NM,363268887
RAIZ,25917,agriculture,False,RAIZ4,PN      N2,26291243
RANI,2429,packaging,False,RANI3,ON      NM,8069404
RAPT,14109,transportation equipment/diversified,False,RAPT4,PN      N1,27080556
RCSL,12572,transportation equipment/diversified,False,RCSL4,PN  EG,1186815
RDNI,20451,real estate,False,RDNI3,ON      NM,41031
RDOR,24821,med hosp serv. anal and diagnostics,False,RDOR3,ON      NM,165726696
RECV,25780,exploration. refining and distribution,False,RECV3,ON      NM,61497814
REDE,3190,electric utilities,False,REDE3,ON,59386
RENT,19739,car rental,False,RENT3,ON  EJ  NM,572852577
RNEW,21636,electric utilities,True,RNEW4,PN      N2,163721
ROMI,7510,machines and industrial equipments,False,ROMI3,ON      NM,6511618
RPAD,9954,banks,False,RPAD5,PNA,696
RPMG,9989,exploration. refining and distribution,True,RPMG3,ON,107831
RRRP,25291,exploration. refining and distribution,False,RRRP3,ON      NM,144316376
RSID,16306,real estate,True,RSID3,ON      NM,164992
RSUL,13439,transportation equipment/diversified,False,RSUL4,PN,44381
SANB,20532,banks,False,SANB4,PN,1616869
SAPR,18627,water utilities,False,SAPR11,UNT EJ  N2,12657778
SBFG,24694,diversified retailers,False,SBFG3,ON      NM,57732344
SBSP,14443,water utilities,False,SBSP3,ON      NM,153115393
SCAR,13781,real estate,False,SCAR3,ON      NM,28440
SEER,23221,education services,False,SEER3,ON      NM,8203097
SEQL,25160,diversified services,False,SEQL3,ON      NM,12401372
SGPS,20966,fabric. thread and fibers,False,SGPS3,ON      NM,2158642
SHOW,22454,entertainment,False,SHOW3,ON      NM,1620048
SHUL,14664,motors and compressors,False,SHUL4,PN,1062407
SIMH,25003,holdings - diversified,False,SIMH3,ON      NM,23287605
SLCE,20745,agriculture,False,SLCE3,ON      NM,64929812
SLED,10472,diversified retailers,True,SLED3,ON      N2,26193
SMFT,24260,sports,False,SMFT3,ON      NM,19163973
